dateRep,day,month,year,cases,deaths,countriesAndTerritories,continentExp,state
14/12/2020,14,12,2020,27071,336,India,Asia,Goa
13/12/2020,13,12,2020,30254,391,India,Asia,Andhra Pradesh
12/12/2020,12,12,2020,30006,442,India,Asia,Arunachal Pradesh
11/12/2020,11,12,2020,29398,414,India,Asia,Assam
10/12/2020,10,12,2020,31521,412,India,Asia,Bihar
9/12/2020,9,12,2020,32080,402,India,Asia,Chandigarh (UT)
8/12/2020,8,12,2020,26567,385,India,Asia,Chhattisgarh
7/12/2020,7,12,2020,32981,391,India,Asia,Dadra and Nagar Haveli (UT)
6/12/2020,6,12,2020,36011,482,India,Asia,Daman and Diu (UT)
5/12/2020,5,12,2020,36652,512,India,Asia,Delhi
4/12/2020,4,12,2020,36595,540,India,Asia,Goa
3/12/2020,3,12,2020,35551,526,India,Asia,Gujarat
2/12/2020,2,12,2020,36604,501,India,Asia,Haryana
1/12/2020,1,12,2020,31118,482,India,Asia,Himachal Pradesh
30/11/2020,30,11,2020,38772,443,India,Asia,Jammu and Kashmir
29/11/2020,29,11,2020,41810,496,India,Asia,Jharkhand
28/11/2020,28,11,2020,41322,485,India,Asia,Karnataka
27/11/2020,27,11,2020,43082,492,India,Asia,Kerala
26/11/2020,26,11,2020,44489,524,India,Asia,Lakshadweep (UT)
25/11/2020,25,11,2020,44376,481,India,Asia,Madhya Pradesh
24/11/2020,24,11,2020,37975,480,India,Asia,Maharashtra
23/11/2020,23,11,2020,44059,511,India,Asia,Manipur
22/11/2020,22,11,2020,45209,501,India,Asia,Meghalaya
21/11/2020,21,11,2020,46232,564,India,Asia,Mizoram
20/11/2020,20,11,2020,45882,584,India,Asia,Nagaland
19/11/2020,19,11,2020,45576,585,India,Asia,Orissa
18/11/2020,18,11,2020,38617,474,India,Asia,Puducherry (UT)
17/11/2020,17,11,2020,29163,449,India,Asia,Punjab
16/11/2020,16,11,2020,30548,435,India,Asia,Rajasthan
15/11/2020,15,11,2020,41100,447,India,Asia,Sikkim
14/11/2020,14,11,2020,44684,520,India,Asia,Tamil Nadu
13/11/2020,13,11,2020,44879,547,India,Asia,Telangana
12/11/2020,12,11,2020,47905,550,India,Asia,Tripura
11/11/2020,11,11,2020,44281,512,India,Asia,Uttar Pradesh
10/11/2020,10,11,2020,38073,448,India,Asia,Uttarakhand
9/11/2020,9,11,2020,45903,490,India,Asia,West Bengal
8/11/2020,8,11,2020,45674,559,India,Asia,
7/11/2020,7,11,2020,50356,577,India,Asia,Andhra Pradesh
6/11/2020,6,11,2020,47638,670,India,Asia,Arunachal Pradesh
5/11/2020,5,11,2020,50210,704,India,Asia,Assam
4/11/2020,4,11,2020,46253,514,India,Asia,Bihar
3/11/2020,3,11,2020,38310,490,India,Asia,Chandigarh (UT)
2/11/2020,2,11,2020,45231,496,India,Asia,Chhattisgarh
1/11/2020,1,11,2020,46963,470,India,Asia,Dadra and Nagar Haveli (UT)
31/10/2020,31,10,2020,48268,551,India,Asia,Daman and Diu (UT)
30/10/2020,30,10,2020,48648,563,India,Asia,Delhi
29/10/2020,29,10,2020,49881,517,India,Asia,Goa
28/10/2020,28,10,2020,43893,508,India,Asia,Gujarat
27/10/2020,27,10,2020,36470,488,India,Asia,Haryana
26/10/2020,26,10,2020,45148,480,India,Asia,Himachal Pradesh
25/10/2020,25,10,2020,50129,578,India,Asia,Jammu and Kashmir
24/10/2020,24,10,2020,53370,650,India,Asia,Jharkhand
23/10/2020,23,10,2020,54366,690,India,Asia,Karnataka
22/10/2020,22,10,2020,55839,702,India,Asia,Kerala
21/10/2020,21,10,2020,54044,717,India,Asia,Lakshadweep (UT)
20/10/2020,20,10,2020,46790,587,India,Asia,Madhya Pradesh
19/10/2020,19,10,2020,55722,579,India,Asia,Maharashtra
18/10/2020,18,10,2020,61871,1033,India,Asia,Manipur
17/10/2020,17,10,2020,62212,837,India,Asia,Meghalaya
16/10/2020,16,10,2020,63371,895,India,Asia,Mizoram
15/10/2020,15,10,2020,67708,680,India,Asia,Nagaland
14/10/2020,14,10,2020,63509,730,India,Asia,Orissa
13/10/2020,13,10,2020,55342,706,India,Asia,Puducherry (UT)
12/10/2020,12,10,2020,66732,816,India,Asia,Punjab
11/10/2020,11,10,2020,74383,918,India,Asia,Rajasthan
10/10/2020,10,10,2020,73272,926,India,Asia,Sikkim
9/10/2020,9,10,2020,70496,964,India,Asia,Tamil Nadu
8/10/2020,8,10,2020,78524,971,India,Asia,Telangana
7/10/2020,7,10,2020,72049,986,India,Asia,Tripura
6/10/2020,6,10,2020,61267,884,India,Asia,Uttar Pradesh
5/10/2020,5,10,2020,74442,903,India,Asia,Uttarakhand
4/10/2020,4,10,2020,75829,940,India,Asia,West Bengal
3/10/2020,3,10,2020,79476,1069,India,Asia,
2/10/2020,2,10,2020,81484,1095,India,Asia,Andhra Pradesh
1/10/2020,1,10,2020,86821,1181,India,Asia,Arunachal Pradesh
30/09/2020,30,9,2020,80472,1179,India,Asia,Assam
29/09/2020,29,9,2020,70589,776,India,Asia,Bihar
28/09/2020,28,9,2020,82170,1039,India,Asia,Chandigarh (UT)
